sections,image,subsections
For Information/Business,business.png,
School Numbers,school.png,
Health,health.png,
Hotlines,hotline.png,
Support Groups,support.png,
General,general.png,
Town Numbers,phone.png,
Children,children.png,
Seniors and Rehabilitation,seniors.png,
Churches,churches.png,"Baptist, Christian Science, Congregational, Episcopal, Jewish, Inter-Denominational, Methodist, Roman Catholic, Unitarian"
The Arts,arts.png,
Other Organizations,other.png,
Winchester Public Schools,school.png,
Winchester High School,redw.png,
McCall Middle School,middle.png,
Elementary Schools,elementary.png,
Winchester Preschool,pre.png,
INTERFACE,wjc.png,
